game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
744932,2024-06-01T19:07:00Z,2024-06-01,R,Final,Pittsburgh Pirates,Toronto Blue Jays,134,141,N,1,Yusei Kikuchi,Mitch Keller,,,8,1,9,Bottom,14,Rogers Centre,[],Series tied 1-1,Pittsburgh Pirates,Toronto Blue Jays,Mitch Keller,Yusei Kikuchi,Luis Ortiz,2024-06-01 - Pittsburgh Pirates (8) @ Toronto Blue Jays (1) (Final)
747029,2024-06-01T20:05:00Z,2024-06-01,R,Final,Tampa Bay Rays,Baltimore Orioles,139,110,N,1,Kyle Bradish,Taj Bradley,,,5,9,9,Top,2,Oriole Park at Camden Yards,['MLB.tv Free Game'],BAL wins 2-0,Baltimore Orioles,Tampa Bay Rays,Jacob Webb,Taj Bradley,,2024-06-01 - Tampa Bay Rays (5) @ Baltimore Orioles (9) (Final)
746952,2024-06-01T20:10:00Z,2024-06-01,R,Final,Detroit Tigers,Boston Red Sox,116,111,N,1,Cooper Criswell,Reese Olson,,,3,6,9,Top,3,Fenway Park,[],BOS leads 2-1,Boston Red Sox,Detroit Tigers,Cooper Criswell,Reese Olson,,2024-06-01 - Detroit Tigers (3) @ Boston Red Sox (6) (Final)
746629,2024-06-01T20:10:00Z,2024-06-01,R,Final,Washington Nationals,Cleveland Guardians,120,114,N,1,Ben Lively,Mitchell Parker,,,2,3,9,Top,5,Progressive Field,[],CLE wins 2-0,Cleveland Guardians,Washington Nationals,Ben Lively,Mitchell Parker,Emmanuel Clase,2024-06-01 - Washington Nationals (2) @ Cleveland Guardians (3) (Final)
745812,2024-06-01T20:10:00Z,2024-06-01,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,Sean Manaea,Slade Cecconi,,,10,5,9,Bottom,3289,Citi Field,['MLBN (out-of-market only)'],NYM leads 2-1,Arizona Diamondbacks,New York Mets,Kevin Ginkel,Sean Manaea,,2024-06-01 - Arizona Diamondbacks (10) @ New York Mets (5) (Final)
746305,2024-06-01T20:10:00Z,2024-06-01,R,Final,San Diego Padres,Kansas City Royals,135,118,N,1,Alec Marsh,Randy Vásquez,,,7,3,9,Bottom,7,Kauffman Stadium,[],SD wins 2-0,San Diego Padres,Kansas City Royals,Randy Vásquez,Alec Marsh,,2024-06-01 - San Diego Padres (7) @ Kansas City Royals (3) (Final)
746384,2024-06-01T20:10:00Z,2024-06-01,R,Final,Minnesota Twins,Houston Astros,142,117,N,1,Framber Valdez,Joe Ryan,,,2,5,9,Top,2392,Minute Maid Park,['MLBN (out-of-market only)'],Series tied 1-1,Houston Astros,Minnesota Twins,Framber Valdez,Joe Ryan,Josh Hader,2024-06-01 - Minnesota Twins (2) @ Houston Astros (5) (Final)
747111,2024-06-01T20:10:00Z,2024-06-01,R,Final,Oakland Athletics,Atlanta Braves,133,144,N,1,Chris Sale,Aaron Brooks,,,11,9,9,Bottom,4705,Truist Park,[],Series tied 1-1,Oakland Athletics,Atlanta Braves,Michael Kelly,Jimmy Herget,Dany Jiménez,2024-06-01 - Oakland Athletics (11) @ Atlanta Braves (9) (Final)
746062,2024-06-01T20:10:00Z,2024-06-01,R,Final,Texas Rangers,Miami Marlins,140,146,N,1,Ryan Weathers,Michael Lorenzen,,,7,0,9,Bottom,4169,loanDepot park,[],Series tied 1-1,Texas Rangers,Miami Marlins,Michael Lorenzen,Ryan Weathers,,2024-06-01 - Texas Rangers (7) @ Miami Marlins (0) (Final)
745980,2024-06-01T20:10:00Z,2024-06-01,R,Final,Chicago White Sox,Milwaukee Brewers,145,158,N,1,Robert Gasser,Garrett Crochet,,,3,4,10,Bottom,32,American Family Field,[],MIL wins 2-0,Milwaukee Brewers,Chicago White Sox,Hoby Milner,Michael Kopech,,2024-06-01 - Chicago White Sox (3) @ Milwaukee Brewers (4) (Final)
746870,2024-06-01T23:15:00Z,2024-06-01,R,Final,Cincinnati Reds,Chicago Cubs,113,112,N,1,Justin Steele,Hunter Greene,,,5,7,9,Top,17,Wrigley Field,['FOX'],CHC leads 1-0,Chicago Cubs,Cincinnati Reds,Mark Leiter Jr.,Lucas Sims,Héctor Neris,2024-06-01 - Cincinnati Reds (5) @ Chicago Cubs (7) (Final)
745251,2024-06-01T23:15:00Z,2024-06-01,R,Final,Los Angeles Angels,Seattle Mariners,108,136,N,1,Bryce Miller,Reid Detmers,,,0,9,9,Top,680,T-Mobile Park,['FOX'],SEA wins 2-0,Seattle Mariners,Los Angeles Angels,Bryce Miller,Reid Detmers,,2024-06-01 - Los Angeles Angels (0) @ Seattle Mariners (9) (Final)
745575,2024-06-01T23:15:00Z,2024-06-01,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,Ranger Suárez,Sonny Gray,,,1,6,9,Top,2681,Citizens Bank Park,['FOX'],PHI wins 2-0,Philadelphia Phillies,St. Louis Cardinals,Spencer Turnbull,Sonny Gray,,2024-06-01 - St. Louis Cardinals (1) @ Philadelphia Phillies (6) (Final)
745332,2024-06-02T02:05:00Z,2024-06-01,R,Final,New York Yankees,San Francisco Giants,147,137,N,1,Logan Webb,Cody Poteet,,,7,3,9,Bottom,2395,Oracle Park,['MLBN (out-of-market only)'],NYY wins 2-0,New York Yankees,San Francisco Giants,Cody Poteet,Logan Webb,,2024-06-01 - New York Yankees (7) @ San Francisco Giants (3) (Final)
746138,2024-06-02T02:10:00Z,2024-06-01,R,Final,Colorado Rockies,Los Angeles Dodgers,115,119,N,1,Yoshinobu Yamamoto,Cal Quantrill,,,1,4,9,Top,22,Dodger Stadium,['MLBN (out-of-market only)'],Series tied 1-1,Los Angeles Dodgers,Colorado Rockies,Yoshinobu Yamamoto,Cal Quantrill,Evan Phillips,2024-06-01 - Colorado Rockies (1) @ Los Angeles Dodgers (4) (Final)
746383,2024-06-02T17:05:00Z,2024-06-02,R,Final,Minnesota Twins,Houston Astros,142,117,N,1,Hunter Brown,Simeon Woods Richardson,,,4,3,9,Bottom,2392,Minute Maid Park,['Roku'],MIN wins 2-1,Minnesota Twins,Houston Astros,Steven Okert,Ryan Pressly,Jhoan Duran,2024-06-02 - Minnesota Twins (4) @ Houston Astros (3) (Final)
746953,2024-06-02T17:35:00Z,2024-06-02,R,Final,Detroit Tigers,Boston Red Sox,116,111,N,1,Brayan Bello,Casey Mize,,,8,4,10,Bottom,3,Fenway Park,[],Series tied 2-2,Detroit Tigers,Boston Red Sox,Andrew Chafin,Cam Booser,,2024-06-02 - Detroit Tigers (8) @ Boston Red Sox (4) (Final)
747030,2024-06-02T17:35:00Z,2024-06-02,R,Final,Tampa Bay Rays,Baltimore Orioles,139,110,N,1,Cole Irvin,Zack Littell,,,4,3,9,Bottom,2,Oriole Park at Camden Yards,[],BAL wins 2-1,Tampa Bay Rays,Baltimore Orioles,Shawn Armstrong,Dillon Tate,Pete Fairbanks,2024-06-02 - Tampa Bay Rays (4) @ Baltimore Orioles (3) (Final)
747110,2024-06-02T17:35:00Z,2024-06-02,R,Final,Oakland Athletics,Atlanta Braves,133,144,N,1,Charlie Morton,Luis Medina,,,1,3,9,Top,4705,Truist Park,[],ATL wins 2-1,Atlanta Braves,Oakland Athletics,Dylan Lee,Austin Adams,Raisel Iglesias,2024-06-02 - Oakland Athletics (1) @ Atlanta Braves (3) (Final)
744929,2024-06-02T17:37:00Z,2024-06-02,R,Final,Pittsburgh Pirates,Toronto Blue Jays,134,141,N,1,Chris Bassitt,Quinn Priester,,,4,5,9,Top,14,Rogers Centre,[],TOR wins 2-1,Toronto Blue Jays,Pittsburgh Pirates,Chris Bassitt,Quinn Priester,Yimi García,2024-06-02 - Pittsburgh Pirates (4) @ Toronto Blue Jays (5) (Final)
746632,2024-06-02T17:40:00Z,2024-06-02,R,Final,Washington Nationals,Cleveland Guardians,120,114,N,1,Carlos Carrasco,Jake Irvin,,,5,2,9,Bottom,5,Progressive Field,[],CLE wins 2-1,Washington Nationals,Cleveland Guardians,Jake Irvin,Carlos Carrasco,Kyle Finnegan,2024-06-02 - Washington Nationals (5) @ Cleveland Guardians (2) (Final)
