game_id,game_date,status,away_name,home_name,bet_side,bet_team,bet_odds,bet_odds_fmt,p_home_win,bet_edge,edge_home,edge_away,home_odds,away_odds,n_books,away_probable_pitcher,home_probable_pitcher
822781,2026-08-01,Scheduled,St. Louis Cardinals,Toronto Blue Jays,away,St. Louis Cardinals,125.0,+125,0.45974537250442615,0.11727377820331741,-0.11727377820331741,0.11727377820331741,-154.0,125.0,7,Quinn Mathews,Kevin Gausman
822944,2026-08-01,Scheduled,Chicago White Sox,Tampa Bay Rays,,,,,0.5717841192468813,,-0.03101961907087558,0.031019619070875692,-171.99999999999994,140.0,7,Jordan Hicks,Drew Rasmussen
823109,2026-08-01,Scheduled,Minnesota Twins,Seattle Mariners,away,Minnesota Twins,140.0,+140,0.4902522486437198,0.11151766286070502,-0.11151766286070491,0.11151766286070502,-169.99999999999997,140.0,7,Connor Prielipp,Logan Gilbert
823269,2026-08-01,Scheduled,San Francisco Giants,San Diego Padres,,,,,0.5748460750025204,,0.0025620715807923578,-0.0025620715807924133,-150.00000000000003,123.0,7,Tyler Mahle,Walker Buehler
823594,2026-08-01,Scheduled,Miami Marlins,New York Mets,,,,,0.5620063809209952,,0.014059857885504123,-0.014059857885504123,-135.0,111.00000000000003,7,Tyler Phillips,Zac Thornton
823920,2026-08-01,Scheduled,Boston Red Sox,Los Angeles Dodgers,,,,,0.5763299626364237,,-0.02543994886800105,0.025439948868001105,-169.99999999999997,140.0,7,Payton Tolle,Yoshinobu Yamamoto
824000,2026-08-01,Scheduled,Milwaukee Brewers,Los Angeles Angels,,,,,0.4463150231118751,,-0.03194584645334231,0.03194584645334231,100.0,-119.99999999999999,7,Robert Gasser,José Soriano
824162,2026-08-01,Scheduled,Texas Rangers,Houston Astros,home,Houston Astros,104.99999999999999,+105,0.5304137115997826,0.06717101270753678,0.06717101270753678,-0.06717101270753689,104.99999999999999,-130.0,7,Jacob deGrom,Ronel Blanco
824326,2026-08-01,Scheduled,Kansas City Royals,Colorado Rockies,away,Kansas City Royals,100.0,+100,0.44367810706724037,0.07806102336754217,-0.07806102336754223,0.07806102336754217,-119.99999999999999,100.0,7,Luinder Avila,Ryan Feltner
824405,2026-08-01,Scheduled,Arizona Diamondbacks,Cleveland Guardians,away,Arizona Diamondbacks,146.0,+146,0.44440644625756975,0.1677380195027105,-0.1677380195027105,0.1677380195027105,-178.99999999999997,146.0,7,Kohl Drake,Parker Messick
824485,2026-08-01,Scheduled,Pittsburgh Pirates,Cincinnati Reds,,,,,0.524583221888215,,0.04266063575465484,-0.04266063575465473,-103.0,-119.99999999999999,7,Braxton Ashcraft,Andrew Abbott
824649,2026-08-01,Scheduled,New York Yankees,Chicago Cubs,,,,,0.4939478267961801,,-0.016886409390168833,0.016886409390168777,-115.00000000000001,-105.0,7,Max Fried,David Peterson
824808,2026-08-01,Scheduled,Philadelphia Phillies,Baltimore Orioles,home,Baltimore Orioles,121.0,+121,0.48678267896385047,0.056202866067206925,0.056202866067206925,-0.056202866067206925,121.0,-149.00000000000003,7,Cristopher Sánchez,Shane Baz
824890,2026-08-01,Scheduled,Washington Nationals,Atlanta Braves,away,Washington Nationals,150.0,+150,0.536326006810697,0.08240309017926961,-0.0824030901792695,0.08240309017926961,-185.0,150.0,7,Miles Mikolas,Reynaldo López
824972,2026-08-01,Scheduled,Detroit Tigers,Athletics,,,,,0.39861818144269356,,-0.0016189961440244982,0.0016189961440246092,138.0,-169.99999999999997,7,Framber Valdez,Jack Perkins
