game_date,n_games
2024-04-01,13
2024-04-02,13
2024-04-03,13
2024-04-04,6
2024-04-05,13
2024-04-06,15
2024-04-07,14
2024-04-08,13
2024-04-09,15
2024-04-10,13
2024-04-11,5
2024-04-12,14
2024-04-13,17
2024-04-14,15
2024-04-15,15
2024-04-16,14
2024-04-17,16
2024-04-18,4
2024-04-19,14
2024-04-20,16
2024-04-21,16
2024-04-22,11
2024-04-23,15
2024-04-24,15
2024-04-25,9
2024-04-26,14
2024-04-27,15
2024-04-28,15
2024-04-29,11
2024-04-30,16
2024-05-01,15
2024-05-02,6
2024-05-03,15
2024-05-04,15
2024-05-05,14
2024-05-06,10
2024-05-07,15
2024-05-08,15
2024-05-09,7
2024-05-10,15
2024-05-11,15
2024-05-12,15
2024-05-13,13
2024-05-14,15
2024-05-15,15
2024-05-16,6
2024-05-17,15
2024-05-18,14
2024-05-19,15
2024-05-20,12
2024-05-21,15
2024-05-22,16
2024-05-23,8
2024-05-24,14
2024-05-25,15
2024-05-26,15
2024-05-27,10
2024-05-28,15
2024-05-29,16
2024-05-30,8
2024-05-31,15
2024-06-01,15
2024-06-02,15
2024-06-03,8
2024-06-04,15
2024-06-05,14
2024-06-06,10
2024-06-07,14
2024-06-08,15
2024-06-09,15
2024-06-10,7
2024-06-11,15
2024-06-12,15
2024-06-13,11
2024-06-14,15
2024-06-15,14
2024-06-16,16
2024-06-17,9
2024-06-18,15
2024-06-19,15
2024-06-20,9
2024-06-21,14
2024-06-22,15
2024-06-23,14
2024-06-24,12
2024-06-25,14
2024-06-26,16
2024-06-27,9
2024-06-28,15
2024-06-29,15
2024-06-30,15
2024-07-01,3
2024-07-02,15
2024-07-03,15
2024-07-04,14
2024-07-05,15
2024-07-06,15
2024-07-07,15
2024-07-08,7
2024-07-09,13
2024-07-10,17
2024-07-11,12
2024-07-12,15
2024-07-13,16
2024-07-14,15
2024-07-16,1
2024-07-19,13
2024-07-20,16
2024-07-21,15
2024-07-22,13
2024-07-23,14
2024-07-24,15
2024-07-25,8
2024-07-26,15
2024-07-27,16
2024-07-28,15
2024-07-29,12
2024-07-30,15
2024-07-31,14
