period,test_start,test_end,n_train,n_test,accuracy,roc_auc
5,2025-02-26,2025-03-12,17893,148,0.581081081081081,0.5229885057471265
6,2025-03-12,2025-03-26,18041,178,0.5617977528089888,0.5614235055724418
7,2025-03-26,2025-04-09,18219,167,0.5568862275449101,0.5265567765567766
8,2025-04-09,2025-04-23,18386,182,0.5604395604395604,0.5321428571428571
9,2025-04-23,2025-05-07,18568,183,0.5573770491803278,0.604171661472069
10,2025-05-07,2025-05-21,18751,186,0.5161290322580645,0.5672643146327356
11,2025-05-21,2025-06-04,18937,181,0.5193370165745856,0.5508060576453346
12,2025-06-04,2025-06-18,19118,186,0.5161290322580645,0.5274764150943396
13,2025-06-18,2025-07-02,19304,186,0.510752688172043,0.5078630897317299
14,2025-07-02,2025-07-16,19490,166,0.5421686746987951,0.5148033583738401
15,2025-07-16,2025-07-30,19656,171,0.5263157894736842,0.4987565625863498
16,2025-07-30,2025-08-13,19827,182,0.532967032967033,0.5683916423712342
17,2025-08-13,2025-08-27,20009,190,0.5157894736842106,0.5079790201986386
18,2025-08-27,2025-09-10,20199,187,0.5828877005347594,0.5609839816933638
19,2025-09-10,2025-09-24,20386,182,0.5604395604395604,0.5851179673321234
20,2025-09-24,2025-10-08,20568,93,0.5591397849462365,0.5212355212355212
21,2025-10-08,2025-10-22,20661,19,0.5789473684210527,0.5681818181818182
22,2025-10-22,2025-11-05,20680,7,0.42857142857142855,0.7
